Altium Designer Pick and Place Locations
\\Mac\Home\Yandex.Disk.localized\Development\Jobs\RHS\rPLC\BareMetal-PLC-M\doc\pcb\Pick Place for pcb.csv

========================================================================================================================
File Design Information:

Date:       11/02/26
Time:       23:26
Revision:   12648622aa165358f983bbb4c68888d586e45b85
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R20","1.5k","TopLayer","R_0603","55.9000","-14.7000","90","Resistor"
"U8","STM32F103RET6","TopLayer","LQFP64","48.5500","-20.9000","0","High-density performance line Arm®-based 32-bit MCU with 256 to 512KB
Flash, USB, CAN, 11 timers, 3 ADCs, 13 communication interfaces"
"U9","24c256","TopLayer","SO-8_M","39.0950","-32.6750","270","256-Kbit I2C-compatible Serial EEPROM"
"R22","4.7k","TopLayer","R_0603","38.9250","-38.8500","270","Resistor"
"R21","4.7k","TopLayer","R_0603","37.4000","-38.8500","270","Resistor"
"U7","FE1.1S_BSOP28","TopLayer","BSOP28","76.9250","-46.8075","0","USB HUB 2.0"
"R26","100","TopLayer","R_0603","50.5250","-30.0000","90","Resistor"
"R25","100","TopLayer","R_0603","48.9750","-30.0000","90","Resistor"
"R24","100","TopLayer","R_0603","47.4250","-30.0000","90","Resistor"
"D7","Green","TopLayer","LED_1206","48.5750","-36.4750","270","Typical INFRARED GaAs LED"
"D6","Yellow","TopLayer","LED_1206","45.8250","-36.4750","270","Typical INFRARED GaAs LED"
"D8","Red","TopLayer","LED_1206","43.0500","-36.4750","270","Typical INFRARED GaAs LED"
"XTAL2","X322512MSB4SI","TopLayer","NX3225GA","77.2750","-39.0500","0","Crystal Oscillator"
"R16","2.7k","TopLayer","R_0603","70.6750","-49.2750","0","Resistor"
"R17","100k","TopLayer","R_0603","82.6250","-44.5000","180","Resistor"
"C15","100nF","TopLayer","C_0603","82.6000","-41.4250","180","Capacitor"
"C16","1uF 16V","TopLayer","C_0603","82.6000","-42.9500","180","Capacitor"
"C27","100nF","TopLayer","C_0603","52.3000","-29.9750","90","Capacitor"
"X2","TYPE-C-31-M-12","TopLayer","HRO_TYPE-C-31-M-12","90.9025","-48.7750","90","USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS"
"U6","USBLC6-2SC6","TopLayer","SOT95P280X145-6N","84.7900","-48.7750","0","17V Clamp 5A (8/20Âµs) Ipp Tvs Diode Surface Mount SOT-23-6"
"R19","5.1k","TopLayer","R_0603","85.9500","-45.8750","270","Resistor"
"R18","5.1k","TopLayer","R_0603","85.9500","-51.8750","90","Resistor"
"C38","47uF 35V","TopLayer","TANTAL_TYPE_X","42.5500","-47.1750","90","Tantal Capacitor"
"XTAL3","NX3215SA-32.768K","TopLayer","XTAL_NX3215SA-32.768K-STD-MUA-8","37.9500","-16.8000","90","Crystal Oscillator"
"D5","RB521S30T1G","TopLayer","SOD-523","41.9750","-12.7750","180","Diode"
"C21","100nF","TopLayer","C_0603","42.0000","-14.2000","0","Capacitor"
"BAT1","2998TR","TopLayer","BAT_2998TR","37.2750","-7.7000","180","Battery"
"C20","8pF 50V","TopLayer","C_0603","35.0250","-15.5000","0","Capacitor"
"C18","8pF 50V","TopLayer","C_0603","35.0250","-18.0500","0","Capacitor"
"X1","15EDGRHCM-THR-3.5-16P","TopLayer","DMC_1,5/_8-G1F-3,5-LR_P20THR_/_1787072","88.8750","-21.8500","270","15EDGRHCM-THR-3.5-16P"
"U2","SN75176BDR","TopLayer","SO-8","77.4250","-23.3000","0","RS485 Half Duplex Convertor"
"U3","MAX488CSA","TopLayer","SO-8_M","77.4250","-15.6500","0","RS485 Full Duplex Convertor"
"U5","ST232CTR","TopLayer","TSSOP16_STM","82.3250","-32.3290","90","No Description Available"
"D3","SM712-02HTG","TopLayer","SOT23","83.2679","-23.3053","0","ESD"
"C13","100nF","TopLayer","C_0603","77.4000","-19.6250","0","Capacitor"
"C7","100nF","TopLayer","C_0603","77.4500","-12.0250","180","Capacitor"
"C11","100nF","TopLayer","C_0603","83.5000","-38.0000","90","Capacitor"
"C10","100nF","TopLayer","C_0603","80.5000","-38.0000","90","Capacitor"
"C9","100nF","TopLayer","C_0603","78.2000","-31.1000","90","Capacitor"
"C14","100nF","TopLayer","C_0603","82.0000","-38.0000","90","Capacitor"
"C12","100nF","TopLayer","C_0603","78.2000","-34.4000","90","Capacitor"
"C37","1uF 16V","TopLayer","C_0603","73.4000","-54.7000","180","Capacitor"
"C36","10nF 16V","TopLayer","C_0603","73.4000","-56.1000","180","Capacitor"
"C34","1uF 16V","TopLayer","C_0603","66.3000","-56.1000","0","Capacitor"
"U26","LD3985M33R","TopLayer","SOT23-5","69.9995","-54.8500","0","Ultra low drop and low noise BiCMOS voltage regulators"
"D10","SM5819PL-TP","TopLayer","SOD-123","79.7250","-54.0500","180","Diode"
"X3","15EDGRHCM-THR-3.5-24P","TopLayer","DMC_1,5/12-G1F-3,5-LRP20THRR72","6.2500","-30.0000","90","15EDGRHCM-THR-3.5-24P"
"PMCU1","PLS2-5","TopLayer","PLS-5-3D","50.2250","-5.4500","0","Header, 5-Pin"
"U1","STM32F103CBT6","TopLayer","LQFP48_L","61.1250","-36.5750","0","STM32 ARM-based 32-bit MCU Performance Line with 128 kB Flash, 20 kB Internal RAM, -40 to +85°C Temperature, 48-Pin LQFP, Tray"
"BUZ1","L-KLS3-SMT-09X1.8","TopLayer","SPKR_PKMCS0909E4000-R1","63.8250","-8.9250","180","Piezoelectric Sounders"
"C19","8pF 50V","TopLayer","C_0603","34.1750","-20.1750","0","Capacitor"
"C17","8pF 50V","TopLayer","C_0603","34.1750","-22.6750","0","Capacitor"
"C23","100nF","TopLayer","C_0603","39.3750","-26.2750","90","Capacitor"
"C22","100nF","TopLayer","C_0603","44.8250","-11.4500","270","Capacitor"
"C24","100nF","TopLayer","C_0603","45.8000","-30.0000","90","Capacitor"
"C25","100nF","TopLayer","C_0603","54.3250","-14.7500","270","Capacitor"
"C26","100nF","TopLayer","C_0603","40.9250","-26.2750","90","Capacitor"
"C8","100nF","TopLayer","C_0603","77.4500","-4.7500","0","Capacitor"
"C28","100nF","TopLayer","C_0603","25.3500","-52.0500","180","Capacitor"
"C29","100nF","TopLayer","C_0603","25.2500","-47.3000","180","Capacitor"
"C30","100nF","TopLayer","C_0603","25.3500","-42.5000","180","Capacitor"
"C31","100nF","TopLayer","C_0603","25.3500","-37.6500","180","Capacitor"
"C32","100nF","TopLayer","C_0603","25.3500","-32.8000","180","Capacitor"
"C35","470pF 16V","TopLayer","C_0603","51.5250","-48.7000","180","Capacitor"
"C33","150uF 16V","TopLayer","TANTAL_TYPE_D","51.7500","-44.5750","180","Tantal Capacitor"
"C1","100nF","TopLayer","C_0603","56.7000","-30.7750","0","Capacitor"
"C2","100nF","TopLayer","C_0603","65.3000","-44.0750","90","Capacitor"
"C3","100nF","TopLayer","C_0603","68.3500","-33.8250","180","Capacitor"
"C5","8pF 50V","TopLayer","C_0603","52.6250","-39.8500","0","Capacitor"
"C4","100nF","TopLayer","C_0603","59.2000","-44.1000","90","Capacitor"
"C6","8pF 50V","TopLayer","C_0603","52.6250","-33.8750","180","Capacitor"
"D4","ESDCAN24-2BLY","TopLayer","SOT23","83.2680","-8.3025","0","ESD"
"D9","BZV55C10","TopLayer","SOD80C","37.1000","-46.3000","0","Diode"
"D11","SM5819PL-TP","TopLayer","SOD-123","62.8500","-54.0500","180","Diode"
"D1","Green","TopLayer","LED_1206","71.8000","-30.9750","90","Typical INFRARED GaAs LED"
"D2","Green","TopLayer","LED_1206","74.3250","-30.9750","270","Typical INFRARED GaAs LED"
"L1","CD54NP-221KC","TopLayer","CD54NP","56.5000","-52.0750","180","Inductor"
"Q6","IRF7205","TopLayer","SO-8_M","37.0901","-52.1228","270","30V P-Channel  MOSFET"
"Q1","IPG20N06S2L65AATMA1","TopLayer","POWERFLAT_5X6","15.9875","-31.1422","90","Dual N-ch Mosfet"
"Q2","IPG20N06S2L65AATMA1","TopLayer","POWERFLAT_5X6","16.0375","-25.0922","90","Dual N-ch Mosfet"
"Q3","IPG20N06S2L65AATMA1","TopLayer","POWERFLAT_5X6","16.0375","-19.0422","90","Dual N-ch Mosfet"
"Q4","IPG20N06S2L65AATMA1","TopLayer","POWERFLAT_5X6","16.0375","-13.0422","90","Dual N-ch Mosfet"
"Q5","IPG20N06S2L65AATMA1","TopLayer","POWERFLAT_5X6","16.0125","-7.0372","90","Dual N-ch Mosfet"
"R23","10K","TopLayer","R_0603","37.8250","-26.3000","270","Resistor"
"R27","10K","TopLayer","R_0603","49.1422","-11.3750","270","Resistor"
"R29","1K","TopLayer","R_0603","53.3750","-10.3750","180","Resistor"
"R28","3.3K","TopLayer","R_0603","53.3750","-8.8500","0","Resistor"
"R15","120","TopLayer","R_0603","83.2750","-14.3500","270","Resistor"
"R13","10k","TopLayer","R_0603","82.8749","-20.9578","0","Resistor"
"R14","10k","TopLayer","R_0603","82.8749","-25.6328","180","Resistor"
"R30","3.3K","TopLayer","R_0805","21.3500","-53.0500","270","Resistor"
