Description,Comment,Designator,Footprint,Part,Alternative Part,JLCPCB Part,Quantity
"Battery","2998TR","BAT1","BAT_2998TR","2998TR","","C6078169","1"
"Piezoelectric Sounders","L-KLS3-SMT-09X1.8'","BUZ1","SPKR_PKMCS0909E4000-R1","L-KLS3-SMT-09X1.8","PKMCS0909E4000-R1","C910763","1"
"Capacitor","8pF 50V","C1, C2, C5, C6","C_0603","CC0603DRNPO9BN8R0","","C326970","4"
"Capacitor","0.1uF 50V","C3, C4, C7, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C30, C40, C54, C56","C_0603","CC0603KPX7R9BB104","","C14663","24"
"Capacitor","2.2uF 16V","C8, C9","C_0603","CC0603KRX5R7BB225","","C106853","2"
"Capacitor","2.2nF 50V","C28, C29, C31, C32, C33","C_0805","CC0805KRX7R9BB222","CL21B222KBANNNC","C107146","5"
"Capacitor","10uF 50V","C34","C_1206","CC1206KKX5R9BB106","CL31A106KBHNNNE","C100122","1"
"Capacitor","22uF 25V","C35","C_1206","CC1206KKX5R8BB226","CL31A226KAHNNNE","C2178233","1"
"Capacitor","100nF 16V","C36, C41, C42, C45, C46, C55","C_0402","CC0402KRX7R7BB104","CC0402KRX5R7BB104","C60474","6"
"Capacitor","10uF 10V","C37, C38","C_0805","CC0805KKX5R6BB106","","C89832","2"
"Capacitor","8pF 50V","C43, C44","C_0402","CC0402DRNPO9BN8R0","","C327227","2"
"Capacitor","0.01uF 50V","C47, C59, C60","C_0402","CC0402KRX7R9BB103","","C60133","3"
"Capacitor","30pF 50V","C48, C53, C57, C58","C_0603","CC0603JRNPO9BN300","","C113797","4"
"Capacitor","0.022uF","C49","C_0603","CC0603KRX7R9BB223","","C106222","1"
"Capacitor","470pF 50V","C50","C_0402","CC0402KRX7R9BB471","","C106207","1"
"Capacitor","1uF 50V","C51, C52, C61, C62","C_0603","CC0603KRX7R9BB105","","C559769","4"
"Capacitor","1nF 1000V","C63","C_1206","CC1206KKX7RCBB102","CL31B102KIFNNNE","C107191","1"
"LED","Green","D1, D7, D11","LED_0603","FYLS-0603PGC","KP-1608CGCK","C2994781","3"
"LED","Yellow","D2, D12","LED_0603","FYLS-0603PGC","KP-1608CGCK","C72038","2"
"LED","Red","D3, D5, D13","LED_0603","FYLS-0603PGC","KP-1608CGCK","C2986060","3"
"Diode","BZV55C10","D4","SOD80C","BZV55C10","","C545361","1"
"Diode","SM5819PL-TP","D6","SOD-123","SM5819PL-TP","","C19992592","1"
"Diode","BAT54","D8","SOT23","BAT54","","C408389","1"
"ESD","ESDCAN24-2BLY","D9","SOT23","ESDCAN24-2BLY","","C5158050","1"
"ESD","SM712-02HTG","D10","SOT23","SM712-02HTG","","C5449363","1"
"Diode","ESD25L","D14","SOT23","ESDA25L","","C95343","1"
"Inductor","1uH","L2","L_0603","LQM18FN1R0M00D","","C113093","1"
"Transistor","BC847B","Q1","SOT23","BC847B","","C181140","1"
"NPN Bipolar Transistor","MMBT9013","Q2","SOT23","MMBT9013","","C81408","1"
"P-Channel MOSFET","SI2309A","Q6","SOT23","SI2309A","","C2681220","1"
"Resistor","10k","R1, R2, R5, R6, R31, R53, R75, R78","R_0603","RC0603JR-0710KL","","C99198","8"
"Resistor","1k","R3","R_0603","RC0603FR-071KL","","C22548","1"
"Resistor","3.3k","R4","R_0603","RC0603FR-073K3L","","C108078","1"
"Resistor","100k","R7","R_0603","RC0603JR-07100KL","","C100048","1"
"Resistor","6.2k","R8, R10, R12, R14, R16","R_0805","RC0805JR-076K2L","CR-05JL7-6K2","C114535","5"
"Resistor","2.4k","R9, R11, R13, R15, R17","R_0805","RC0805JR-072K4L","CR-05JL7-2K4","C114236","5"
"Resistor","300","R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R32, R33, R61, R62, R63, R69, R70","R_0603","RC0603FR-07300RL","","C114617","17"
"Resistor","10K","R28, R64, R65, R66, R67","R_0402","RC0402JR-0710KL","","C60489","5"
"Resistor","100","R29, R37","R_0402","RC0402JR-07100RL","","C106233","2"
"Resistor","36K","R30","R_0402","RC0402JR-0736KL","","C137879","1"
"Resistor","4.7K","R34, R35, R38","R_0402","RC0402JR-074K7L","","C105870","3"
"Resistor","1.5K","R36","R_0402","RC0402JR-071K5L","","C114451","1"
"Resistor","100K","R39, R40","R_0402","RC0402JR-07100KL","","C106234","2"
"Resistor","22","R41, R42, R43, R73, R74","R_0402","RC0402JR-0722RL","","C93929","5"
"Resistor","5.1k","R44, R45","R_0603","RC0603JR-075K1L","","C14677","2"
"Resistor","49.9","R46, R47, R48, R49","R_0603","RC0603FR-0749R9L","","C114625","4"
"Resistor","10","R50, R57, R58","R_0603","RC0603FR-0710RL","","C109318","3"
"Resistor","4.7k","R51, R71, R76, R77","R_0603","RC0603FR-074K7L","","C99782","4"
"Resistor","33","R52","R_0603","RC0603FR-0733RL","","C108661","1"
"Resistor","27","R54, R55, R56","R_0603","RC0402JR-0727RL","","C137639","3"
"Resistor","330","R59, R72","R_0603","RC0603FR-07330RL","","C105881","2"
"Resistor","12.1k","R60","R_0603","RC0603FR-0712K1L","","C123417","1"
"Resistor","2.7K","R68","R_0402","RC0402FR-072K7L","","C138017","1"
"Resistor","1M","R79","R_1206","RC1206FR-071ML","","C108083","1"
"Microcontroller","STM32F765ZGT7","U1","TQFP144_M","STM32F765ZGT","","C1337348","1"
"LDO","LM1117GS-3.3","U2","SOT 223","LM1117GS-3.3","","C411821","1"
"CAN_transiever","SN65HVD232D","U3","SO-8_M","SN65HVD232DR","","C30530","1"
"ST232CTR","ST232CTR","U4","TSSOP16_STM","ST232CTR","","C13482","1"
"RS485 Half Duplex Convertor","SN75176BDR","U5","SO-8","SN75176BDR","","C2829048","1"
"Isolated Octal Industrial Digital Input","CA-IS3988P","U6","SOP64P600X175-20N","CA-IS3988P","","C5210911","1"
"Solid State Relay 60V 3A","GAQY252G3EH","U7, U8, U10, U12, U15","SMD-4P","GAQY252G3EH","","C7435131","5"
"Solid State Relay 60V 250mA","GAQY221R2S","U9, U11, U13, U14, U16","SOP254P700X270-4N","GAQY221R2S","","C22385176","5"
"Non-isolated dc-dc","K7805-500R3","U17","K7805500R3","K7805-500R3","","C19188491","1"
"Flash Memory","W25Q128JVEIQ","U19","W-PDFN-8 (MLP8) – 8mm ? 6mm  Se","W25Q128JVEIQ","","C2456297","1"
"STM32 ARM-based 32-bit MCU Performance Line with 128 kB Flash, 20 kB Internal RAM, -40 to +85°C Temperature, 48-Pin VFQFPN, Tray","STM32F103CBU6","U20","STM-UFQFPN48_M","STM32F103CBU6","","C55506","1"
