Altium Designer Pick and Place Locations
C:\Users\a.nikitin.KFT\Desktop\BareMetal-PLC-XL\doc\pcb\Pick Place for pcb.csv

========================================================================================================================
File Design Information:

Date:       25.03.26
Time:       10:44
Revision:   5c7657567f85d8c5b8c2c8f1eacfa8ddf66abfe4
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U24","24c256","TopLayer","SO-8_M","60.2250","-39.1057","0","256-Kbit I2C-compatible Serial EEPROM"
"U17","K7805-500R3","TopLayer","K7805500R3","27.4400","-54.2000","180","Non-isolated dc-dc"
"U9","GAQY221R2S","TopLayer","SOP254P700X270-4N","14.4750","-48.5000","90","Solid State Relay 60V 250mA"
"U11","GAQY221R2S","TopLayer","SOP254P700X270-4N","14.4750","-44.0000","90","Solid State Relay 60V 250mA"
"U13","GAQY221R2S","TopLayer","SOP254P700X270-4N","14.4750","-39.6000","90","Solid State Relay 60V 250mA"
"U14","GAQY221R2S","TopLayer","SOP254P700X270-4N","14.4750","-35.1000","90","Solid State Relay 60V 250mA"
"U16","GAQY221R2S","TopLayer","SOP254P700X270-4N","14.5623","-30.4276","90","Solid State Relay 60V 250mA"
"U7","GAQY252G3EH","TopLayer","SMD-4P","15.3523","-25.4774","90","Solid State Relay 60V 3A"
"U8","GAQY252G3EH","TopLayer","SMD-4P","15.3523","-20.5774","90","Solid State Relay 60V 3A"
"U10","GAQY252G3EH","TopLayer","SMD-4P","15.3523","-15.6774","90","Solid State Relay 60V 3A"
"U12","GAQY252G3EH","TopLayer","SMD-4P","15.3523","-10.7774","90","Solid State Relay 60V 3A"
"U15","GAQY252G3EH","TopLayer","SMD-4P","15.3523","-5.8774","90","Solid State Relay 60V 3A"
"C38","10uF 10V","TopLayer","C_0805","41.2000","-46.7000","180","Capacitor"
"C37","10uF 10V","TopLayer","C_0805","34.9000","-49.4000","270","Capacitor"
"C63","1nF 1000V","TopLayer","C_1206","64.9500","-5.7250","90","Capacitor"
"U2","LM1117GS-3.3","TopLayer","SOT_223","40.0000","-52.1000","90",""
"D14","ESD25L","TopLayer","SOT23","84.4820","-33.4000","0","Diode"
"R63","300","TopLayer","R_0603","76.4100","-12.8000","180","Resistor"
"R62","300","TopLayer","R_0603","76.4100","-14.4000","180","Resistor"
"C56","0.1uF 50V","TopLayer","C_0603","61.9250","-35.4057","0","Capacitor"
"C30","0.1uF 50V","TopLayer","C_0603","39.4000","-40.2000","90","Capacitor"
"R70","300","TopLayer","R_0603","67.5226","-9.0627","180","Resistor"
"R69","300","TopLayer","R_0603","67.5102","-12.3500","0","Resistor"
"R61","300","TopLayer","R_0603","69.5476","-34.3699","180","Resistor"
"R33","300","TopLayer","R_0603","69.5476","-35.9127","180","Resistor"
"R32","300","TopLayer","R_0603","69.5476","-37.4699","180","Resistor"
"R1","10k","TopLayer","R_0603","29.8000","-28.7000","270","Resistor"
"C15","0.1uF 50V","TopLayer","C_0603","32.9800","-28.7200","90","Capacitor"
"C4","0.1uF 50V","TopLayer","C_0603","31.4000","-28.7000","90","Capacitor"
"R26","300","TopLayer","R_0603","21.8000","-6.7100","90","Resistor"
"R23","300","TopLayer","R_0603","21.8000","-11.6100","90","Resistor"
"R21","300","TopLayer","R_0603","21.8000","-16.5100","90","Resistor"
"R19","300","TopLayer","R_0603","21.8000","-21.4100","90","Resistor"
"R18","300","TopLayer","R_0603","21.8000","-26.3100","90","Resistor"
"R27","300","TopLayer","R_0603","19.7873","-31.0476","90","Resistor"
"R25","300","TopLayer","R_0603","19.7873","-35.4476","90","Resistor"
"R24","300","TopLayer","R_0603","19.7873","-39.9476","90","Resistor"
"R22","300","TopLayer","R_0603","19.7873","-44.3476","90","Resistor"
"R20","300","TopLayer","R_0603","19.7873","-48.8476","90","Resistor"
"R79","1M","TopLayer","R_1206","67.6500","-5.7250","90","Resistor"
"R78","10K","TopLayer","R_0603","47.6000","-8.4000","0","Resistor"
"C50","470pF 50V","TopLayer","C_0402","58.2750","-49.1750","180","Capacitor"
"C62","1uF 50V","TopLayer","C_0603","68.7665","-45.4653","270","Capacitor"
"C61","1uF 50V","TopLayer","C_0603","72.8665","-45.4653","270","Capacitor"
"C60","0.01uF 50V","TopLayer","C_0402","66.6000","-53.3000","0","Capacitor"
"C59","0.01uF 50V","TopLayer","C_0402","66.6000","-49.9000","0","Capacitor"
"C47","0.01uF 50V","TopLayer","C_0402","58.5000","-52.0250","180","Capacitor"
"R73","22","TopLayer","R_0402","53.1000","-8.6000","180","Resistor"
"R74","22","TopLayer","R_0402","72.8750","-25.7250","0","Resistor"
"R54","27","TopLayer","R_0603","59.8471","-32.4274","270","Resistor"
"R56","27","TopLayer","R_0603","57.0250","-32.4250","270","Resistor"
"R55","27","TopLayer","R_0603","58.4348","-32.4274","270","Resistor"
"R51","4.7k","TopLayer","R_0603","54.7250","-54.4500","0","Resistor"
"C54","0.1uF 50V","TopLayer","C_0603","55.2000","-35.0524","90","Capacitor"
"C58","30pF 50V","TopLayer","C_0603","73.3000","-9.4274","270","Capacitor"
"C57","30pF 50V","TopLayer","C_0603","73.3000","-6.6274","90","Capacitor"
"X3","KUSBX-SL-CS1N14-B","TopLayer","MOLEX_2169890001","87.5000","-5.7250","90","USB Connector USB TYPE C UPRIGHT STRAIGHT TAB 14 PIN"
"C19","0.1uF 50V","TopLayer","C_0603","49.4000","-34.3000","0","Capacitor"
